artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sam Feldt,Call On Me (feat. Georgia Ku),0.662,0.794,6,-4.239,1,0.0533,0.171,0,0.0883,0.641,104.951,audio_features,3pBv3LfvfPft2TqHleqKHo,spotify:track:3pBv3LfvfPft2TqHleqKHo,https://api.spotify.com/v1/tracks/3pBv3LfvfPft2TqHleqKHo,https://api.spotify.com/v1/audio-analysis/3pBv3LfvfPft2TqHleqKHo,192000,4
Syn Cole,Breathe (feat. kaspara),0.753,0.749,6,-5.214,1,0.0314,0.0546,4.39e-06,0.166,0.589,121.988,audio_features,7pDdE5FLqcNCvjxzRzm80r,spotify:track:7pDdE5FLqcNCvjxzRzm80r,https://api.spotify.com/v1/tracks/7pDdE5FLqcNCvjxzRzm80r,https://api.spotify.com/v1/audio-analysis/7pDdE5FLqcNCvjxzRzm80r,175082,4
Gryffin,Best Is Yet To Come (with Kyle Reynolds),0.569,0.85,4,-3.914,1,0.0369,0.0148,0,0.245,0.551,122.042,audio_features,2gZwBmkSmsVfEPFWGuWTDk,spotify:track:2gZwBmkSmsVfEPFWGuWTDk,https://api.spotify.com/v1/tracks/2gZwBmkSmsVfEPFWGuWTDk,https://api.spotify.com/v1/audio-analysis/2gZwBmkSmsVfEPFWGuWTDk,215201,4
Tensnake,Antibodies - LP Giobbi Remix,0.61,0.765,3,-4.914,1,0.172,0.175,1.05e-06,0.0914,0.243,125.028,audio_features,2BqIdDEwf8bHH0JuwS9j4O,spotify:track:2BqIdDEwf8bHH0JuwS9j4O,https://api.spotify.com/v1/tracks/2BqIdDEwf8bHH0JuwS9j4O,https://api.spotify.com/v1/audio-analysis/2BqIdDEwf8bHH0JuwS9j4O,312226,4
Felix Cartal,Happy Hour,0.625,0.855,5,-3.184,0,0.0401,0.00324,0,0.742,0.303,120.004,audio_features,0Q8I9WVpuNEFPiF83ZpcvU,spotify:track:0Q8I9WVpuNEFPiF83ZpcvU,https://api.spotify.com/v1/tracks/0Q8I9WVpuNEFPiF83ZpcvU,https://api.spotify.com/v1/audio-analysis/0Q8I9WVpuNEFPiF83ZpcvU,168000,4
Don Diablo,Problems,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076,audio_features,2dyrLrVopYKGc3H9oOYSmZ,spotify:track:2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/tracks/2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/audio-analysis/2dyrLrVopYKGc3H9oOYSmZ,179032,4
Andrew Rayel,Silver Lining,0.633,0.844,5,-3.815,0,0.0461,0.0451,0,0.097,0.637,125.032,audio_features,6D9pncRlZZoq4oc1tzAC1y,spotify:track:6D9pncRlZZoq4oc1tzAC1y,https://api.spotify.com/v1/tracks/6D9pncRlZZoq4oc1tzAC1y,https://api.spotify.com/v1/audio-analysis/6D9pncRlZZoq4oc1tzAC1y,177746,4
Cash Cash,Ride or Die (feat. Phoebe Ryan),0.547,0.881,0,-3.152,0,0.0512,0.0159,0,0.171,0.215,99.979,audio_features,2tYbp6gUNzQXYj8XhVAh9e,spotify:track:2tYbp6gUNzQXYj8XhVAh9e,https://api.spotify.com/v1/tracks/2tYbp6gUNzQXYj8XhVAh9e,https://api.spotify.com/v1/audio-analysis/2tYbp6gUNzQXYj8XhVAh9e,188400,4
Petey Martin,Come Back Home,0.598,0.559,5,-5.835,1,0.0387,0.019,0,0.17,0.19,122.066,audio_features,5qpEtUsEI1VkG63MNlRrAC,spotify:track:5qpEtUsEI1VkG63MNlRrAC,https://api.spotify.com/v1/tracks/5qpEtUsEI1VkG63MNlRrAC,https://api.spotify.com/v1/audio-analysis/5qpEtUsEI1VkG63MNlRrAC,179853,4
Jonas Blue,Hear Me Say,0.697,0.836,5,-5.005,1,0.0437,0.133,4.46e-06,0.0754,0.631,121.977,audio_features,7dk9EBvTbbKBbFxjCAJpwK,spotify:track:7dk9EBvTbbKBbFxjCAJpwK,https://api.spotify.com/v1/tracks/7dk9EBvTbbKBbFxjCAJpwK,https://api.spotify.com/v1/audio-analysis/7dk9EBvTbbKBbFxjCAJpwK,190772,4
Sam Feldt,Pick Me Up,0.688,0.662,6,-5.57,1,0.0441,0.0971,1.34e-06,0.172,0.549,115.106,audio_features,6VYIVgVqEIwzRwpJz5rMa4,spotify:track:6VYIVgVqEIwzRwpJz5rMa4,https://api.spotify.com/v1/tracks/6VYIVgVqEIwzRwpJz5rMa4,https://api.spotify.com/v1/audio-analysis/6VYIVgVqEIwzRwpJz5rMa4,174100,4
Syn Cole,Feels Like Love (feat. MIYA MIYA),0.728,0.657,0,-5.329,0,0.042,0.0696,3.41e-06,0.0855,0.772,122.079,audio_features,4R4gOp9ybG85RqbrY7JELc,spotify:track:4R4gOp9ybG85RqbrY7JELc,https://api.spotify.com/v1/tracks/4R4gOp9ybG85RqbrY7JELc,https://api.spotify.com/v1/audio-analysis/4R4gOp9ybG85RqbrY7JELc,169672,4
Hook N Sling,The Best,0.813,0.848,0,-4.582,1,0.0534,0.0453,1.51e-05,0.0696,0.603,123.978,audio_features,1OU3OPHczBcfFU8cDzSzKT,spotify:track:1OU3OPHczBcfFU8cDzSzKT,https://api.spotify.com/v1/tracks/1OU3OPHczBcfFU8cDzSzKT,https://api.spotify.com/v1/audio-analysis/1OU3OPHczBcfFU8cDzSzKT,158354,4
