artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Shawn Mendes,Summer of Love (Shawn Mendes & Tainy),0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,audio_features,0z8hI3OPS8ADPWtoCjjLl6,spotify:track:0z8hI3OPS8ADPWtoCjjLl6,https://api.spotify.com/v1/tracks/0z8hI3OPS8ADPWtoCjjLl6,https://api.spotify.com/v1/audio-analysis/0z8hI3OPS8ADPWtoCjjLl6,184104,4
Marshmello,Leave Before You Love Me (with Jonas Brothers),0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
Justin Bieber,Anyone,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,audio_features,31qCy5ZaophVA81wtlwLc4,spotify:track:31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/tracks/31qCy5ZaophVA81wtlwLc4,https://api.spotify.com/v1/audio-analysis/31qCy5ZaophVA81wtlwLc4,190779,4
Ed Sheeran,Shivers,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,audio_features,6bQfNiqyCX7UaQSvVVGo4I,spotify:track:6bQfNiqyCX7UaQSvVVGo4I,https://api.spotify.com/v1/tracks/6bQfNiqyCX7UaQSvVVGo4I,https://api.spotify.com/v1/audio-analysis/6bQfNiqyCX7UaQSvVVGo4I,207853,4
Surfaces,Wave of You,0.695,0.656,1,-6.038,1,0.0489,0.057,0,0.267,0.346,90.986,audio_features,5Ne1q9Hv3l2NHBA3Agt8WT,spotify:track:5Ne1q9Hv3l2NHBA3Agt8WT,https://api.spotify.com/v1/tracks/5Ne1q9Hv3l2NHBA3Agt8WT,https://api.spotify.com/v1/audio-analysis/5Ne1q9Hv3l2NHBA3Agt8WT,213842,4
LANY,dancing in the kitchen,0.619,0.736,11,-7.651,1,0.0425,0.0328,0,0.0864,0.299,93.993,audio_features,0ohcCrxZkBfFbkuRPOZQZX,spotify:track:0ohcCrxZkBfFbkuRPOZQZX,https://api.spotify.com/v1/tracks/0ohcCrxZkBfFbkuRPOZQZX,https://api.spotify.com/v1/audio-analysis/0ohcCrxZkBfFbkuRPOZQZX,208600,4
Glass Animals,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
The Kid LAROI,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
Tones And I,Fly Away,0.805,0.515,4,-6.201,1,0.0915,0.223,0,0.238,0.488,124.969,audio_features,1jgu8MFTEGdL1wjw9gZj5y,spotify:track:1jgu8MFTEGdL1wjw9gZj5y,https://api.spotify.com/v1/tracks/1jgu8MFTEGdL1wjw9gZj5y,https://api.spotify.com/v1/audio-analysis/1jgu8MFTEGdL1wjw9gZj5y,178157,4
Quinn XCII,Stay Next To Me (with Chelsea Cutler),0.581,0.584,2,-4.928,1,0.284,0.0805,0,0.366,0.756,179.954,audio_features,6SGG5AxHShqSYiV9fCWpZz,spotify:track:6SGG5AxHShqSYiV9fCWpZz,https://api.spotify.com/v1/tracks/6SGG5AxHShqSYiV9fCWpZz,https://api.spotify.com/v1/audio-analysis/6SGG5AxHShqSYiV9fCWpZz,206046,4
Dan + Shay,Glad You Exist,0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953,audio_features,472vIK1ldetTxRxG3ovaiY,spotify:track:472vIK1ldetTxRxG3ovaiY,https://api.spotify.com/v1/tracks/472vIK1ldetTxRxG3ovaiY,https://api.spotify.com/v1/audio-analysis/472vIK1ldetTxRxG3ovaiY,144533,4
Gryffin,Safe With Me (with Audrey Mika),0.497,0.757,11,-4.189,1,0.127,0.0449,0,0.119,0.507,169.902,audio_features,6Skh3CBum0pZw9TOr7FQnX,spotify:track:6Skh3CBum0pZw9TOr7FQnX,https://api.spotify.com/v1/tracks/6Skh3CBum0pZw9TOr7FQnX,https://api.spotify.com/v1/audio-analysis/6Skh3CBum0pZw9TOr7FQnX,205165,4
MAX,Butterflies,0.7,0.613,11,-4.041,1,0.0408,0.385,0,0.0887,0.42,88.084,audio_features,7eQHxigpuDJjCG50JyzU8v,spotify:track:7eQHxigpuDJjCG50JyzU8v,https://api.spotify.com/v1/tracks/7eQHxigpuDJjCG50JyzU8v,https://api.spotify.com/v1/audio-analysis/7eQHxigpuDJjCG50JyzU8v,191250,4
benny blanco,You (with Marshmello & Vance Joy),0.668,0.563,11,-6.433,1,0.0522,0.0493,0,0.119,0.305,103.116,audio_features,1GkHyypTFkUf0QQKwYoXH4,spotify:track:1GkHyypTFkUf0QQKwYoXH4,https://api.spotify.com/v1/tracks/1GkHyypTFkUf0QQKwYoXH4,https://api.spotify.com/v1/audio-analysis/1GkHyypTFkUf0QQKwYoXH4,169632,4
Dua Lipa,Levitating (feat. DaBaby),0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,audio_features,463CkQjx2Zk1yXoBuierM9,spotify:track:463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/tracks/463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/audio-analysis/463CkQjx2Zk1yXoBuierM9,203064,4
Niall Horan,Black And White,0.443,0.582,2,-6.02,1,0.0482,0.0301,0,0.127,0.239,147.589,audio_features,7rpNuuoMbid56XkDsx2FjE,spotify:track:7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/tracks/7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/audio-analysis/7rpNuuoMbid56XkDsx2FjE,193090,4
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,audio_features,5K6Ssv4Z3zRvxt0P6EKUAP,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/tracks/5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/audio-analysis/5K6Ssv4Z3zRvxt0P6EKUAP,183726,4
Tones And I,Cloudy Day,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,audio_features,0mA7zotmg2ZFMRALljdZsS,spotify:track:0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/tracks/0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/audio-analysis/0mA7zotmg2ZFMRALljdZsS,185304,4
Vance Joy,Missing Piece,0.633,0.843,0,-5.676,1,0.046,0.0142,4.84e-06,0.113,0.748,101.982,audio_features,0YYg6U1Yrd4UjnG5iVhiXh,spotify:track:0YYg6U1Yrd4UjnG5iVhiXh,https://api.spotify.com/v1/tracks/0YYg6U1Yrd4UjnG5iVhiXh,https://api.spotify.com/v1/audio-analysis/0YYg6U1Yrd4UjnG5iVhiXh,217408,4
Alesso,Chasing Stars (feat. James Bay),0.594,0.64,10,-6.865,1,0.033,0.0169,0,0.135,0.492,92.871,audio_features,6y6xhAgZjvxy5kR5rigpY3,spotify:track:6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/tracks/6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/audio-analysis/6y6xhAgZjvxy5kR5rigpY3,170457,4
OneRepublic,Someday,0.576,0.679,0,-7.237,1,0.034,0.0311,0,0.323,0.213,121.005,audio_features,6aDsgHPZsMztSbZernzlF8,spotify:track:6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/tracks/6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/audio-analysis/6aDsgHPZsMztSbZernzlF8,187889,4
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
