artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
MKTO,Classic,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,175427,4
Dua Lipa,Levitating (feat. DaBaby),0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,audio_features,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064,4
Outkast,Hey Ya!,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,audio_features,3AszgPDZd9q0DpDFt4HFBy,spotify:track:3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/tracks/3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/audio-analysis/3AszgPDZd9q0DpDFt4HFBy,239240,4
Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
Farruko,Pepas,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,2B4GHvToeLTOBB4QLzW3Ni,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/tracks/2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/audio-analysis/2B4GHvToeLTOBB4QLzW3Ni,287120,4
A!MS,Honor - Remix,0.688,0.801,1,-4.885,0,0.132,0.0657,1.31e-06,0.0562,0.775,96.143,audio_features,770QJaV76weyNNNxQ7dpiF,spotify:track:770QJaV76weyNNNxQ7dpiF,https://api.spotify.com/v1/tracks/770QJaV76weyNNNxQ7dpiF,https://api.spotify.com/v1/audio-analysis/770QJaV76weyNNNxQ7dpiF,224404,4
MGMT,Electric Feel,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,audio_features,3FtYbEfBqAlGO46NUDQSAt,spotify:track:3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/tracks/3FtYbEfBqAlGO46NUDQSAt,https://api.spotify.com/v1/audio-analysis/3FtYbEfBqAlGO46NUDQSAt,229640,3
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,audio_features,1WkMMavIMc4JZ8cfMmxHkI,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/tracks/1WkMMavIMc4JZ8cfMmxHkI,https://api.spotify.com/v1/audio-analysis/1WkMMavIMc4JZ8cfMmxHkI,237547,4
R3HAB,Most People (with Lukas Graham),0.748,0.793,11,-4.633,1,0.108,0.0458,0,0.0955,0.592,114.054,audio_features,3qGzO7CnDHKRT7KrR2JPFJ,spotify:track:3qGzO7CnDHKRT7KrR2JPFJ,https://api.spotify.com/v1/tracks/3qGzO7CnDHKRT7KrR2JPFJ,https://api.spotify.com/v1/audio-analysis/3qGzO7CnDHKRT7KrR2JPFJ,141053,4
Bruno Mars,Marry You,0.621,0.82,10,-4.865,1,0.0367,0.332,0,0.104,0.452,144.905,audio_features,6SKwQghsR8AISlxhcwyA9R,spotify:track:6SKwQghsR8AISlxhcwyA9R,https://api.spotify.com/v1/tracks/6SKwQghsR8AISlxhcwyA9R,https://api.spotify.com/v1/audio-analysis/6SKwQghsR8AISlxhcwyA9R,230192,4
Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4
Luxe,Circles,0.781,0.772,7,-4.655,1,0.0395,0.00866,0.0361,0.121,0.962,128.012,audio_features,2afWD0UBFBAUgk5jYoCYaq,spotify:track:2afWD0UBFBAUgk5jYoCYaq,https://api.spotify.com/v1/tracks/2afWD0UBFBAUgk5jYoCYaq,https://api.spotify.com/v1/audio-analysis/2afWD0UBFBAUgk5jYoCYaq,181751,4
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,audio_features,3vkQ5DAB1qQMYO4Mr9zJN6,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/tracks/3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,292613,4
Clément Bindzi,Together,0.836,0.587,1,-8.671,0,0.0896,0.103,0.000291,0.0853,0.575,122.945,audio_features,7I4tSvgf0nNz43r3u24Zla,spotify:track:7I4tSvgf0nNz43r3u24Zla,https://api.spotify.com/v1/tracks/7I4tSvgf0nNz43r3u24Zla,https://api.spotify.com/v1/audio-analysis/7I4tSvgf0nNz43r3u24Zla,167347,4
Hoodie Forester,Whistle,0.615,0.748,0,-5.423,1,0.0374,0.062,0,0.567,0.485,95.027,audio_features,5cBvwieT5RLB9Ro2OOjBoI,spotify:track:5cBvwieT5RLB9Ro2OOjBoI,https://api.spotify.com/v1/tracks/5cBvwieT5RLB9Ro2OOjBoI,https://api.spotify.com/v1/audio-analysis/5cBvwieT5RLB9Ro2OOjBoI,125053,4
BTS,Butter,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,3VqeTFIvhxu3DIe4eZVzGq,spotify:track:3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/tracks/3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/audio-analysis/3VqeTFIvhxu3DIe4eZVzGq,164442,4
