danceability,energy,loudness,speechiness,acousticness,liveness,valence,target
0.392,0.574,-9.195,0.17,0.833,0.145,0.529,0
0.453,0.496,-5.785,0.0453,0.554,0.0772,0.501,0
0.422,0.264,-7.064,0.0322,0.922,0.132,0.331,0
0.604,0.366,-7.519,0.0282,0.578,0.133,0.13,0
0.641,0.551,-6.165,0.0532,0.147,0.12,0.417,0
0.449,0.465,-8.964,0.0791,0.524,0.303,0.543,0
0.597,0.45,-6.658,0.0418,0.223,0.382,0.537,0
0.641,0.324,-5.851,0.0299,0.698,0.328,0.273,0
0.508,0.72,-5.908,0.0628,0.272,0.0563,0.472,0
0.459,0.575,-4.858,0.0573,0.604,0.0885,0.183,0
0.557,0.585,-6.201,0.0431,0.036,0.176,0.305,0
0.612,0.57,-6.642,0.0347,0.278,0.0963,0.334,0
0.464,0.473,-10.086,0.129,0.866,0.109,0.604,0
0.599,0.448,-6.312,0.0232,0.163,0.106,0.168,0
0.656,0.627,-6.627,0.0379,0.343,0.124,0.481,0
0.296,0.351,-9.538,0.0352,0.823,0.11,0.19,0
0.654,0.63,-4.644,0.0259,0.153,0.111,0.43,0
0.542,0.412,-6.822,0.0411,0.0421,0.0884,0.284,0
0.605,0.377,-6.213,0.0443,0.733,0.0808,0.519,0
0.589,0.471,-4.908,0.0262,0.674,0.105,0.262,0
0.58,0.586,-6.883,0.0357,0.344,0.0755,0.507,0
0.381,0.594,-5.97,0.0486,0.348,0.0925,0.273,0
0.488,0.343,-8.985,0.0436,0.556,0.21,0.0978,0
0.358,0.557,-7.398,0.059,0.695,0.0902,0.494,0
0.637,0.843,-5.413,0.0432,0.0151,0.0876,0.434,0
0.524,0.639,-7.18,0.103,0.238,0.0598,0.582,0
0.721,0.277,-7.128,0.0365,0.634,0.112,0.309,0
0.655,0.469,-6.257,0.0292,0.173,0.0956,0.467,0
0.764,0.32,-7.209,0.0546,0.837,0.0822,0.575,0
0.501,0.405,-5.679,0.0319,0.751,0.105,0.446,0
0.667,0.373,-9.389,0.05,0.785,0.0906,0.0823,0
0.958,0.376,-7.063,0.0523,0.171,0.127,0.331,0
0.63,0.53,-7.259,0.0434,0.4,0.177,0.417,0
0.573,0.739,-5.74,0.129,0.0285,0.111,0.451,0
0.548,0.816,-4.209,0.0465,0.122,0.335,0.557,0
0.688,0.53,-5.507,0.0333,0.443,0.0995,0.162,0
0.555,0.729,-4.813,0.0387,0.00357,0.209,0.369,0
0.421,0.407,-7.445,0.0267,0.309,0.11,0.161,0
0.581,0.197,-7.697,0.0329,0.88,0.107,0.349,0
0.752,0.505,-7.621,0.253,0.535,0.104,0.419,0
0.515,0.378,-8.264,0.065,0.618,0.172,0.536,0
0.476,0.594,-6.879,0.135,0.0599,0.0785,0.314,0
0.689,0.706,-4.48,0.0312,0.0833,0.105,0.623,0
0.357,0.425,-7.301,0.0333,0.584,0.322,0.27,0
0.427,0.262,-8.541,0.0276,0.746,0.068,0.228,0
0.614,0.379,-10.48,0.0476,0.607,0.0986,0.201,0
0.266,0.0596,-18.515,0.0363,0.905,0.132,0.143,0
0.553,0.506,-5.967,0.0411,0.317,0.763,0.306,0
0.596,0.679,-6.395,0.0394,0.723,0.116,0.479,0
0.646,0.31,-11.728,0.0399,0.885,0.121,0.202,0
0.616,0.438,-5.968,0.0298,0.356,0.24,0.386,0
0.621,0.82,-4.865,0.0367,0.332,0.104,0.452,0
0.599,0.465,-4.95,0.0314,0.643,0.149,0.0678,0
0.481,0.267,-9.249,0.0339,0.8,0.249,0.137,0
0.45,0.329,-12.603,0.0441,0.818,0.135,0.266,0
0.398,0.316,-7.031,0.0368,0.805,0.295,0.174,0
0.627,0.446,-9.477,0.0332,0.308,0.111,0.11,0
0.612,0.28,-8.648,0.0434,0.932,0.088,0.387,0
0.611,0.462,-7.054,0.0646,0.558,0.131,0.377,0
0.325,0.18,-10.647,0.0311,0.91,0.113,0.0997,0
